"R","G","B","A"
"8","8","0","255"
"24","8","0","255"
"40","8","0","255"
"56","8","0","255"
"72","8","0","255"
"88","8","0","255"
"104","8","0","255"
"120","8","0","255"
"135","8","0","255"
"151","8","0","255"
"167","8","0","255"
"183","8","0","255"
"199","8","0","255"
"215","8","0","255"
"231","8","0","255"
"247","8","0","255"
"8","24","0","255"
"24","24","0","255"
"40","24","0","255"
"56","24","0","255"
"72","24","0","255"
"88","24","0","255"
"104","24","0","255"
"120","24","0","255"
"135","24","0","255"
"151","24","0","255"
"167","24","0","255"
"183","24","0","255"
"199","24","0","255"
"215","24","0","255"
"231","24","0","255"
"247","24","0","255"
"8","40","0","255"
"24","40","0","255"
"40","40","0","255"
"56","40","0","255"
"72","40","0","255"
"88","40","0","255"
"104","40","0","255"
"120","40","0","255"
"135","40","0","255"
"151","40","0","255"
"167","40","0","255"
"183","40","0","255"
"199","40","0","255"
"215","40","0","255"
"231","40","0","255"
"247","40","0","255"
"8","56","0","255"
"24","56","0","255"
"40","56","0","255"
"56","56","0","255"
"72","56","0","255"
"88","56","0","255"
"104","56","0","255"
"120","56","0","255"
"135","56","0","255"
"151","56","0","255"
"167","56","0","255"
"183","56","0","255"
"199","56","0","255"
"215","56","0","255"
"231","56","0","255"
"247","56","0","255"
"8","72","0","255"
"24","72","0","255"
"40","72","0","255"
"56","72","0","255"
"72","72","0","255"
"88","72","0","255"
"104","72","0","255"
"120","72","0","255"
"135","72","0","255"
"151","72","0","255"
"167","72","0","255"
"183","72","0","255"
"199","72","0","255"
"215","72","0","255"
"231","72","0","255"
"247","72","0","255"
"8","88","0","255"
"24","88","0","255"
"40","88","0","255"
"56","88","0","255"
"72","88","0","255"
"88","88","0","255"
"104","88","0","255"
"120","88","0","255"
"135","88","0","255"
"151","88","0","255"
"167","88","0","255"
"183","88","0","255"
"199","88","0","255"
"215","88","0","255"
"231","88","0","255"
"247","88","0","255"
"8","104","0","255"
"24","104","0","255"
"40","104","0","255"
"56","104","0","255"
"72","104","0","255"
"88","104","0","255"
"104","104","0","255"
"120","104","0","255"
"135","104","0","255"
"151","104","0","255"
"167","104","0","255"
"183","104","0","255"
"199","104","0","255"
"215","104","0","255"
"231","104","0","255"
"247","104","0","255"
"8","120","0","255"
"24","120","0","255"
"40","120","0","255"
"56","120","0","255"
"72","120","0","255"
"88","120","0","255"
"104","120","0","255"
"120","120","0","255"
"135","120","0","255"
"151","120","0","255"
"167","120","0","255"
"183","120","0","255"
"199","120","0","255"
"215","120","0","255"
"231","120","0","255"
"247","120","0","255"
"8","135","0","255"
"24","135","0","255"
"40","135","0","255"
"56","135","0","255"
"72","135","0","255"
"88","135","0","255"
"104","135","0","255"
"120","135","0","255"
"135","135","0","255"
"151","135","0","255"
"167","135","0","255"
"183","135","0","255"
"199","135","0","255"
"215","135","0","255"
"231","135","0","255"
"247","135","0","255"
"8","151","0","255"
"24","151","0","255"
"40","151","0","255"
"56","151","0","255"
"72","151","0","255"
"88","151","0","255"
"104","151","0","255"
"120","151","0","255"
"135","151","0","255"
"151","151","0","255"
"167","151","0","255"
"183","151","0","255"
"199","151","0","255"
"215","151","0","255"
"231","151","0","255"
"247","151","0","255"
"8","167","0","255"
"24","167","0","255"
"40","167","0","255"
"56","167","0","255"
"72","167","0","255"
"88","167","0","255"
"104","167","0","255"
"120","167","0","255"
"135","167","0","255"
"151","167","0","255"
"167","167","0","255"
"183","167","0","255"
"199","167","0","255"
"215","167","0","255"
"231","167","0","255"
"247","167","0","255"
"8","183","0","255"
"24","183","0","255"
"40","183","0","255"
"56","183","0","255"
"72","183","0","255"
"88","183","0","255"
"104","183","0","255"
"120","183","0","255"
"135","183","0","255"
"151","183","0","255"
"167","183","0","255"
"183","183","0","255"
"199","183","0","255"
"215","183","0","255"
"231","183","0","255"
"247","183","0","255"
"8","199","0","255"
"24","199","0","255"
"40","199","0","255"
"56","199","0","255"
"72","199","0","255"
"88","199","0","255"
"104","199","0","255"
"120","199","0","255"
"135","199","0","255"
"151","199","0","255"
"167","199","0","255"
"183","199","0","255"
"199","199","0","255"
"215","199","0","255"
"231","199","0","255"
"247","199","0","255"
"8","215","0","255"
"24","215","0","255"
"40","215","0","255"
"56","215","0","255"
"72","215","0","255"
"88","215","0","255"
"104","215","0","255"
"120","215","0","255"
"135","215","0","255"
"151","215","0","255"
"167","215","0","255"
"183","215","0","255"
"199","215","0","255"
"215","215","0","255"
"231","215","0","255"
"247","215","0","255"
"8","231","0","255"
"24","231","0","255"
"40","231","0","255"
"56","231","0","255"
"72","231","0","255"
"88","231","0","255"
"104","231","0","255"
"120","231","0","255"
"135","231","0","255"
"151","231","0","255"
"167","231","0","255"
"183","231","0","255"
"199","231","0","255"
"215","231","0","255"
"231","231","0","255"
"247","231","0","255"
"8","247","0","255"
"24","247","0","255"
"40","247","0","255"
"56","247","0","255"
"72","247","0","255"
"88","247","0","255"
"104","247","0","255"
"120","247","0","255"
"135","247","0","255"
"151","247","0","255"
"167","247","0","255"
"183","247","0","255"
"199","247","0","255"
"215","247","0","255"
"231","247","0","255"
"247","247","0","255"
